input,path,size_bytes,sha256,status
Governance v1.3,RUMAHAGEN_M01-M15_RECON_TO_CORE_v1.3_INTEGRATION_GOVERNANCE_CHECKLIST_PRE-00_FULL_REBUILD.docx,52353,f8e79957ac273d55ae7a6ac439e23b9afb01fffd6c8f05db70c47308f7c53efb,VERIFIED
Core v1.3 current source pack,Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(6).zip,1425994,cbd1ab3403e882b1f8266ec85493254e4c230cc374d75cec64fecd1d92472ebf,VERIFIED
Core v1.3 predecessor source pack,Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(5).zip,1425994,cbd1ab3403e882b1f8266ec85493254e4c230cc374d75cec64fecd1d92472ebf,VERIFIED
PRE-00 gate current,pre-00 gate(2).zip,277791,f241d2cc281168a25767d938b954c3fd84ab9e51dbfeb072116449f2507b8751,VERIFIED
STEP SYNC CORE current RAR,STEP SYNC CORE(1).rar,694687,7cf48c45517ead61740ead681f771688a536cdaaefba24e73a27cf4e958f80ee,VERIFIED
STEP SYNC CORE predecessor RAR,STEP SYNC CORE.rar,335012,eb17fde202ef07623d39ffdffe3623725532c99581493ae7f5d75daf1ab546ea,VERIFIED
M01-M15 current Recon,M01-M15 new recon(8).zip,12682315,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7,VERIFIED
STEP06 Additive Semantic Merge v1.1,RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,361303,839a7eca7999f5905de846686536a1129bd591ac1c81eb9bdcb02efdaac67534,VERIFIED
